ドルアーガの搭（アーケード版）
階数	宝	効果	出現方法	敵	
- 攻略法 -	***	***	***	***	以下，各階の宝の出しかたと攻略について述べます．	難易度は，宝とフロア (階)クリアの双方について「★」と「☆」でつけています．	★は楽勝，	★★は初心者はちょっと苦労するかもしれないけど，中級者は楽勝，	★★★は初心者にはきついけど中級者ならなんとかなるし上級者なら楽勝，	★★★★は中級者にもきついけど，上級者ならなんとか，	★★★★★は上級者でも難しい，を意味します．	☆は運の要素を表わします	(★☆☆☆なら，運によって★から★★ ★★まで変わる，ということです)	
1階★☆☆☆☆	カッパーマトック 	宝を取る前と後にそれぞれ一度ずつ壁を壊せる． 	グリーンスライムを 3 匹殺す．★☆☆☆☆ 	グリーンスライムx8 	全階中でも最も時間切れになりやすい階です．最初なのにいきなり激難というのがとんでもないのですが，マトックを取ればどうにかなりますので，とにかくマトックを取ることが先決です．スライムの位置をよく確認して効率よく倒しましょう．マトックを取ったら，ダンジョンの形や扉の位置をよく確認してから，ここぞという場所に使って下さい．くれぐれも外周に使ってマトックをなくしてしまわないように．
2階★☆☆	ジェットブーツ 	移動速度が二倍になる． 	ブラックスライムを 2 匹殺す．★☆☆ 	グリーンスライムx5,ブラックスライムx3	ここも時間切れの恐れはありますが，ジェットブーツさえ取ってしまえばなんとかなります．ともかくブラックスライムの位置をよく見て効率よく倒して下さい．マトックが宝を取る前と後に一度ずつ使えるので，くれぐれも有効に使うように注意して下さい．
3階★☆	ポーションオブヒーリング	ギルがやられたときに，残機をひとつ回復する． 	ブルーナイトを殺す．★☆	グリーンスライムx4,ブルーナイトx2	ここの宝は特に必要ありませんが，念のため取ったほうがいいでしょう．二人いるブルーナイトのどちらかを倒すと宝は出ます．どちらか，というのは一人でも倒せば宝が出るという意味ではなくて，どちらか決まったほうのブルーナイトを倒すと出現するという意味です．いずれにせよ，両方とも倒せば確実に出ますので，一人倒しても出なかったら両方とも倒して下さい． 		しかし，ポーション系の宝は常にひとつしか持てないので，たとえばポーションオブアロックなどを取ってしまうとこの宝は消えてしまいます．最初のポーションオブアンロックが出るのは 17 面なので，結局のところこの薬はそこまでの間しか効果がないわけです．なお，この薬は残機を増やすのではなくて，ひとりやられても残機が減らないというだけです． 
4階★☆	チャイム 	開始直後(4秒以内)に鍵のあるほうをギルが向くとチャイム音がする．ただし，画面内に鍵が見えているときには鳴らない． 	 扉を通過する．★☆ 	ブラックスライムx6,メイジx1	ここの宝は必須ではありませんが，取りかたもそれほど難しくないので取っておいたほうがいいでしょう．後半の階に行けば行くほど，チャイムのありがたさを実感すること思います．メイジが少々邪魔なので，できれば先に倒してしまったほうがいいでしょう．メイジさえいなくなってしまえば，あとは烏合の衆ですので簡単だと思います． 
5階★★☆☆	ホワイトソード  	ギルの攻撃力がアップする．18 面で必要．  	メイジの呪文を歩きながら 3 回盾で受ける．★★☆  	グリーンスライムx4,メイジx5 	ここは，初心者の最初の難関です．いきなりメイジが 5 人も出てきますので，不用意にうろつくとすぐに狭み撃ちにあって死んでしまいます．慣れればメイジを全員残したまま宝箱を取ることは簡単ですが，慣れないうちはメイジをある程度撃ち減らしてから宝箱を狙うほうがいいでしょう．メイジを倒しているうちに，気がついたら宝箱が出ている，ということもよくあることです．宝箱を取ってしまったら，メイジを全滅させてからクリアしましょう．メイジを全滅させておかないと，途中で邪魔をしているグリーンスライムがいたときに困ることになります． 
6階★☆	キャンドル 	10 面までゴーストが見えるようになる． 	上辺を触って下がる．★☆ 	ソーサラーx3,ブラックナイトx2	ここの宝は必需品ではありませんが，取るのがそれほど難しくないので取っておいたほうがいいでしょう．ソーサラーの呪文は他のマジシャンと違って，それほど長距離飛んできません．ですから狭み撃ちにあうことは少ないのですが，そのかわりブラックナイトと炎に狭まれて死，という目にあう危険性があります．この階ではひたすらマトックを温存しておき，絶対危険というときに使うようにして下さい．
7階★	シルバーマトック 	宝を取る前に 2~3 回，宝を取った後に 3~4 回壁を壊せる． 	カッパーマトックをなくす．★ 	レッドスライムx3,ブルーナイトx3	カッパーマトックをなくすには二回壁を壊すか，あるいは外周に対してマトックを使えばオーケーです．しかしマトックは貴重品なので，いかに壊すといえども有効に使うにこしたことはありません．鍵と扉の位置をよく見てカッパーマトックを使いましょう．レッドスライムは時おり忘れたころに呪文を吐きますので，呪文を全然吐かないからと言って不用意に正面から近づいたりすることは避けたほうが賢明です． 
8階★☆	ポーションオブパワー 	ギルが強くなる． 	出現位置から XY 座標の両方ともずれた位置で剣を抜く．★ 	メイジx4,ブラックスライムx5	ここの宝は取る必要はありません．3 階の宝を持っている状態でここの宝を取ってしまうと，3 階の宝のほうが消えてしまいますので注意して下さい．特に，ここは宝を出すつもりではなくとも，剣を抜けばほとんど確実に宝が出てしまいますので用心が必要です．あとはメイジさえなんとかすれば，それほど苦労なくクリアできると思います． 	
9階★☆	ポーションオブエナジードレイン 	ギルが弱くなる．	特定の位置を通る．★☆ 	ソーサラーx3，ドルイドx1，メイジゴーストx1	ここの宝は取るだけ無意味です．さっさとクリアしてしまいましょう．ゴーストが多少邪魔なので，最初に 2 ブロックの地帯に誘い込んで倒してしまいましょう．ドルイドは「道作り人」ということで放置しておいて壁をこわさせるほうがいいです．ソーサラーの炎には要注意． 
